site,transect,GIS_id,demog_id,window,max.ht,max.w,perp.w,max.ht.dead,max.w.dea,perp.w.dead,notes,outwindow
FPS,2,,,25,48,69,29,55,88,64,,
FPS,2,,,25,47,30,24,48,49,50,,
FPS,2,,,25,57,65,30,35,72,74,,
FPS,2,,,25,35,43,40,48,71,59,,
FPS,2,,,30,31,36,43,61,84,86,,
FPS,2,,,30,20,11,23,20,22,24,,
FPS,2,,,30,34,55,41,39,99,86,,
FPS,2,,,30,22,24,13,22,23,26,,
FPS,2,,,30,21,27,24,36,58,61,,
FPS,2,,,30,59,31,51,45,61,58,,
FPS,2,,,30,30,49,38,47,90,74,,
FPS,2,,,30,28,23,20,40,41,26,,
FPS,2,,,35,66,75,50,76,113,98,,
FPS,2,,,35,55,52,49,61,111,118,,
FPS,2,,,35,24,88,25,27,68,50,,
FPS,2,,,35,34,42,40,59,78,85,,
FPS,2,,,35,81,76,40,96,113,109,,
FPS,2,,,40,49,54,40,66,103,117,,
FPS,2,,,40,34,24,18,29,70,70,,
FPS,2,,,40,24,28,25,40,58,44,,
FPS,2,,,40,45,50,52,64,73,100,,
FPS,2,,,40,31,43,33,71,97,113,,
FPS,2,,,40,59,50,69,70,123,151,,
FPS,2,,,40,39,37,39,60,136,124,,
FPS,2,,,40,33,42,25,74,112,96,,
FPS,2,,,45,70,78,38,56,100,110,,
FPS,2,,,45,65,33,23,77,124,108,,
FPS,2,,2-50-1,50,61,78,37,52,119,114,,
FPS,2,,2-50-2,50,53,41,38,26,79,79,,
FPS,2,,2-50-4,50,45,63,55,50,109,75,,
FPS,2,,2-50-6,50,31,60,53,56,121,110,,
FPS,2,,2-50-9,50,41,50,49,49,86,83,,
FPS,2,,,55,53,58,32,87,92,120,,
FPS,2,,,55,105,67,55,63,155,118,,
FPS,2,,,55,78,56,34,94,111,99,,
FPS,2,,2-50-10,55,41,51,48,66,138,131,,
FPS,2,,,60,38,48,28,55,95,103,,
FPS,2,,,60,40,54,43,69,100,105,,
FPS,2,,,60,60,62,58,56,121,114,,
FPS,2,,,60,74,70,46,71,111,124,,
FPS,2,,,60,76,91,89,98,200,196,,
FPS,2,,,65,62,94,83,45,116,110,,
FPS,2,,,65,78,85,61,63,111,111,,
FPS,2,,,70,88,106,75,83,146,123,,
FPS,2,,,70,52,46,62,55,71,77,,
FPS,2,,,70,48,31,32,27,64,42,,
FPS,2,,,70,68,50,48,61,68,53,,
FPS,2,,,70,38,47,35,36,52,60,,
FPS,2,,,70,59,65,46,46,77,61,,
FPS,2,,,70,77,106,65,80,113,100,,
FPS,2,,,70,37,39,44,47,62,67,,
FPS,2,,,70,76,67,57,65,99,85,,
FPS,2,,,70,68,41,53,49,77,66,,
FPS,2,,,70,13,9,18,10,23,13,,
FPS,2,,,75,44,38,39,39,61,54,,
FPS,2,,,75,45,57,35,68,99,84,,
FPS,2,,,75,36,51,45,59,56,96,,
FPS,2,,,75,24,44,44,60,97,90,,
FPS,2,,,75,77,61,56,42,74,94,,
FPS,2,,,75,19,31,18,41,45,37,,
FPS,2,,,75,71,86,64,71,168,134,,
FPS,2,,,75,68,87,89,54,141,90,,
FPS,2,,,75,61,78,67,71,125,110,,
FPS,2,,,75,46,38,36,56,66,64,,
FPS,2,,,75,34,24,31,57,82,57,,
FPS,2,,,75,73,52,44,57,85,70,,
FPS,2,,,75,31,27,12,60,44,38,,
FPS,2,,,75,42,23,13,50,67,44,,
FPS,2,,,80,18,19,25,26,39,30,,
FPS,2,,,80,57,49,37,70,77,68,,
FPS,2,,,80,15,15,20,25,37,40,,
FPS,2,,,80,44,54,38,65,85,79,,
FPS,2,,,80,10,10,11,27,30,13,,
FPS,2,,,80,48,36,38,50,72,63,,
FPS,2,,,80,39,74,40,38,91,82,,
FPS,2,,,80,43,40,34,58,69,64,,
FPS,2,,,80,49,65,40,68,85,68,,
FPS,2,,,85,43,45,51,45,67,89,,
FPS,2,,,85,30,24,14,42,51,44,,
FPS,2,,,85,30,35,29,47,61,68,,
FPS,2,,,85,20,45,25,67,76,66,,
